file,i,j,compressed,num_pages,input_bytes_plain,input_bytes_hybrid,output_bytes_plain,output_bytes_hybrid,num_values_plain,num_values_hybrid,time
/dev/shm/with_compression/parquet-1/supplier.parquet,0,1,1,2,103,6284,0,40000,0,10000,126
/dev/shm/with_compression/parquet-1/supplier.parquet,0,2,1,2,55838,17535,0,80000,0,10000,171
/dev/shm/with_compression/parquet-3/customer.parquet,0,0,1,5,1800980,278816,2551424,1048576,318928,131072,2935
/dev/shm/with_compression/parquet-3/customer.parquet,0,1,1,2,101,282170,0,1800000,0,450000,258
/dev/shm/with_compression/parquet-3/customer.parquet,0,2,1,5,2470956,315936,2477696,1122304,309712,140288,3054
/dev/shm/with_compression/parquet-3/lineitem.parquet,0,0,1,7,1338447,1109539,4186112,4202496,523264,525312,4049
/dev/shm/with_compression/parquet-3/lineitem.parquet,1,0,1,7,1339608,1117606,4194304,4194304,524288,524288,4012
/dev/shm/with_compression/parquet-3/lineitem.parquet,2,0,1,7,1340708,1112196,4194304,4194304,524288,524288,4008
/dev/shm/with_compression/parquet-3/lineitem.parquet,3,0,1,7,1337838,1122069,4177920,4210688,522240,526336,4001
/dev/shm/with_compression/parquet-3/lineitem.parquet,4,0,1,7,1338494,1114016,4186112,4202496,523264,525312,4022
/dev/shm/with_compression/parquet-3/lineitem.parquet,5,0,1,7,1339324,1113800,4194304,4194304,524288,524288,4017
/dev/shm/with_compression/parquet-3/lineitem.parquet,6,0,1,8,1342929,1114285,4202496,4186112,525312,523264,4021
/dev/shm/with_compression/parquet-3/lineitem.parquet,7,0,1,7,1337936,1119694,4186112,4202496,523264,525312,4002
/dev/shm/with_compression/parquet-3/lineitem.parquet,8,0,1,7,1338970,1118206,4186112,4202496,523264,525312,4024
/dev/shm/with_compression/parquet-3/lineitem.parquet,9,0,1,7,1341544,1116870,4194304,4194304,524288,524288,4037
/dev/shm/with_compression/parquet-3/lineitem.parquet,10,0,1,8,1340888,1115127,4202496,4186112,525312,523264,4045
